evaluated_at_utc,evaluated_at_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,ATSI,7515.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,ATSI,7513.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,ATSI,7511.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,10/15/2020 5:45:00 PM,10/15/2020 1:45:00 PM,ATSI,7508.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:45:00 PM,10/15/2020 1:45:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,ATSI,7504.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,ATSI,7500.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,ATSI,7495.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,ATSI,7489.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,ATSI,7483.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,ATSI,7475.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,ATSI,7467.000000
