PNODEID,PNODENAME,PNODETYPE,STATE
48987,PENCOYD 13 KV 4TR,LOAD,PA
48988,PENN 69 KV 1BUS,LOAD,PA
48990,PERKIOME35 KV BU4K,LOAD,PA
48991,PERKIOME35 KV BU5K,LOAD,PA
48992,PERKIOME35 KV BU6K,LOAD,PA
48993,PLANEBRO35 KV 1BUS,LOAD,PA
48994,PLANEBRO35 KV 2BUS,LOAD,PA
48995,PLANEBRO35 KV 3BUS,LOAD,PA
48999,PLYMOUTH35 KV KBUS,LOAD,PA
49000,PLYMOUTH138 KV FBUS,LOAD,PA
49001,PULASKI 13 KV LD 1TR,LOAD,PA
49002,PULASKI 13 KV LD 3TR,LOAD,PA
49008,ROXBOROU13 KV 4BUS,LOAD,PA
49009,ROXBOROU13 KV 5BUS,LOAD,PA
49010,ROXBOROU13 KV 6BUS,LOAD,PA
49011,SAVILLE 138 KV 7BUS,LOAD,PA
49012,SAVILLE 138 KV 9BUS,LOAD,PA
49013,SCHUYLKI13 KV ABU1,LOAD,PA
49014,SCHUYLKI13 KV ABU2,LOAD,PA
49015,SCHUYLKI13 KV BU22,LOAD,PA
49016,SCHUYLKI13 KV BU25,LOAD,PA
49017,SCOTTPAP13 KV NBUS,LOAD,PA
49019,SWARK 13 KV NBUA,LOAD,PA
49020,SWARK 13 KV NBUC,LOAD,PA
49021,TABOR 13 KV DBU1,LOAD,PA
49022,TABOR 13 KV DBU2,LOAD,PA
49023,TABOR 13 KV DBU3,LOAD,PA
49024,TACONY 13 KV NBUS,LOAD,PA
49027,TREDYFFR13 KV 1BUS,LOAD,PA
49028,TREDYFFR13 KV 2BUS,LOAD,PA
49029,TREDYFFR35 KV 7BUS,LOAD,PA
49030,TRAINER 230 KV 1BUS,LOAD,PA
49031,TRAINER 230 KV 3BUS,LOAD,PA
49034,UPPERDAR35 KV KBUS,LOAD,PA
49036,UPPERMER13 KV 13-1,LOAD,PA
49037,UPPERMER13 KV 13-2,LOAD,PA
49038,UPPERMER35 KV 3BUS,LOAD,PA
49039,UPPERMER35 KV 2BUS,LOAD,PA
49041,WANEETA 13 KV 1BUS,LOAD,PA
49042,WANEETA 13 KV 2BUS,LOAD,PA
49043,WANEETA 13 KV 3BUS,LOAD,PA
49044,WARMINST13 KV 1BUS,LOAD,PA
49045,WARMINST13 KV 2BUS,LOAD,PA
49046,WARRINGT35 KV 1BUS,LOAD,PA
49047,WARRINGT35 KV 3BUS,LOAD,PA
49048,WOODBOUR35 KV KBU6,LOAD,PA
49049,WOODBOUR35 KV KBU5,LOAD,PA
49050,WHITEMAR35 KV K2BU,LOAD,PA
49051,WHITEMAR35 KV K1BU,LOAD,PA
49052,WHITEMAR230 KV DBU4,LOAD,PA
49053,WHITEMAR230 KV DBU6,LOAD,PA
49054,WOODLYN 35 KV KBU1,LOAD,PA
49055,WOODLYN 35 KV KBU2,LOAD,PA
49060,WAYNEJCT230 KV DBU2,LOAD,PA
49061,WAYNEJCT230 KV DBU1,LOAD,PA
49064,BERKS 69 KV BUS_1,LOAD,PA
49065,BERKS 69 KV BUS_3,LOAD,PA
49066,BERWICK 69 KV LOAD1,LOAD,PA
49067,BLOOMING69 KV BUS_1,LOAD,PA
49069,BRUNNERI230 KV AUX10,LOAD,PA
49070,BRUNNERI230 KV AUX30,LOAD,PA
49071,BUXMONT 69 KV BUS_1,LOAD,PA
49073,CLINTON 69 KV BUS_1,LOAD,PA
49074,CLINTON 69 KV BUS_2,LOAD,PA
49075,COLU PL 69 KV BUS_1,LOAD,PA
49076,COLU PL 69 KV BUS_3,LOAD,PA
49077,CONTITAP69 KV BUS2,LOAD,PA
49078,CONTITAP69 KV BUS4,LOAD,PA
49081,DAUPHIN 69 KV BUS_1,LOAD,PA
49082,DAUPHIN 69 KV BUS_3,LOAD,PA
49083,EPALMERT69 KV BUS_1,LOAD,PA
49084,EPALMERT69 KV BUS_3,LOAD,PA
49085,ELDRED 69 KV CLEV,LOAD,PA
49086,ELDRED 69 KV FAIR,LOAD,PA
49087,ELDRED 69 KV PIGR,LOAD,PA
49088,ELDRED 69 KV REED,LOAD,PA
49089,ENGLESID69 KV BUS_1,LOAD,PA
49090,ENGLESID69 KV BUS_3,LOAD,PA
49092,FACEROCK69 KV KINZ14,LOAD,PA
49093,FISHBACH69 KV BUS1,LOAD,PA
49094,FISHBACH69 KV BUS2,LOAD,PA
49095,FRACKVIL69 KV BUS_1,LOAD,PA
49096,FRACKVIL69 KV BUS_2,LOAD,PA
49097,FRACKVIL69 KV BUS_3,LOAD,PA
49098,HARRISBU69 KV BUS_1,LOAD,PA
49099,HARRISBU69 KV BUS_3,LOAD,PA
49100,HARWOOD 69 KV BUS_1,LOAD,PA
49101,HARWOOD 69 KV BUS_3,LOAD,PA
49102,HOSENSAC69 KV W_BUS,LOAD,PA
49103,HOSENSAC69 KV E_BUS,LOAD,PA
49104,HUMMELST69 KV WBUS,LOAD,PA
49105,HUMMELST69 KV EBUS,LOAD,PA
49108,JACK PL 69 KV LOAD1,LOAD,PA
49109,JENKINS 69 KV BUS1,LOAD,PA
49110,JENKINS 69 KV BUS2,LOAD,PA
49112,JUNIATA 230 KV TRAN_3,LOAD,PA
49113,JUNIATA 230 KV TRAN_4,LOAD,PA
49114,LACKAWAN69 KV BUS_1,LOAD,PA
49115,LACKAWAN69 KV BUS_3,LOAD,PA
49116,LOCKHAVE69 KV BUS_1,LOAD,PA
49117,LOCKHAVE69 KV BUS_2,LOAD,PA
49118,LOCKHAVE69 KV BUS_3,LOAD,PA
49119,LOCKHAVE69 KV BUS_4,LOAD,PA
49120,LOCKHAVE69 KV BUS_5,LOAD,PA
49121,LOCKHAVE69 KV BUS_6,LOAD,PA
49122,LYCOMING69 KV BUS_1,LOAD,PA
49123,LYCOMING69 KV BUS_2,LOAD,PA
49124,LYCOMING69 KV BUS_4,LOAD,PA
49125,MANOR 69 KV RCP,LOAD,PA
49126,MARTINSC69 KV BUS_1,LOAD,PA
49127,MARTINSC230 KV LOAD1,LOAD,PA
49128,MILTON 69 KV BUS_1,LOAD,PA
49129,MILTON 69 KV BUS_3,LOAD,PA
49130,MONTOUR 230 KV TR10,LOAD,PA
49133,NAZARETH69 KV BUS_1,LOAD,PA
49134,NAZARETH69 KV BUS_3,LOAD,PA
49137,QUARRY 69 KV SBUS,LOAD,PA
49138,QUARRY 69 KV NBUS,LOAD,PA
49139,SAFEHARB13 KV TRAN_A,LOAD,PA
49140,SAFEHARB13 KV 25CYCL,LOAD,PA
49141,SMANHEIM69 KV BUS_1,LOAD,PA
49143,SAKRON 69 KV BUS1,LOAD,PA
49144,SAKRON 69 KV BUS3,LOAD,PA
49145,SAKRON 69 KV BUS4,LOAD,PA
49148,SIEGFRIE69 KV EBUS1,LOAD,PA
49149,SIEGFRIE69 KV WBUS1,LOAD,PA
49150,SIEGFRIE69 KV EBUS2,LOAD,PA
49151,SIEGFRIE69 KV WBUS2,LOAD,PA
49154,STANTON 69 KV BUS1,LOAD,PA
49155,STANTON 69 KV BUS3,LOAD,PA
49156,STEELTON230 KV TRAN_1,LOAD,PA
49157,STEELTON230 KV TRAN_3,LOAD,PA
49158,STEELTON230 KV TRAN_2,LOAD,PA
49159,SUNBURY 12 KV COTULD,LOAD,PA
49160,SUNBURY 69 KV BUS1W,LOAD,PA
